STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"DOLLAR GENERAL 7810",-77.249725,35.843498,"22712 NC Highway 903","","Robersonville","NC","27871","9245","MARTIN" 
"DOLLAR GENERAL 7823",-77.919151,35.342037,"206 NC Highway 111 S","","Goldsboro","NC","27534","9221","WAYNE" 
"DOLLAR GENERAL 8112",-78.66288,34.490147,"433 W Green St","","Clarkton","NC","28433","7371","BLADEN" 
"DOLLAR GENERAL 8384",-79.907158,36.466995,"124 N Henry St","","Stoneville","NC","27048","8597","ROCKINGHAM" 
"DOLLAR GENERAL 8397",-78.134544,35.120232,"336 NE Center St","","Faison","NC","28341","","DUPLIN" 
"DOLLAR GENERAL 8530",-79.513641,36.081345,"1301 S Williamson Ave","","Burlington","NC","27215","","ALAMANCE" 
"DOLLAR GENERAL 8536",-78.561539,35.516579,"12330 NC Highway 210","","Benson","NC","27504","5800","JOHNSTON" 
"FAIRWAY ONE STOP 7",-80.250946,36.090607,"225 S Broad St","","Winston Salem","NC","27101","5020","FORSYTH" 
"CAROLINA INTERNATIONAL MARKET",-78.584335,35.797985,"3605 Bastion Ln","Ste 109","Raleigh","NC","27604","3890","WAKE" 
"FOOD LION 2628",-76.753334,34.700748,"1010 W Fort Macon Rd","","Atlantic Beach","NC","28512","5318","CARTERET" 
"SEASIDE STOP N SHOP",-76.580681,34.706059,"311 Island Rd","","Harkers Island","NC","28531","9610","CARTERET" 
"KGS QUIK STOP 104",-81.998718,35.677296,"865 Rutherford Rd","","Marion","NC","28752","4808","MCDOWELL" 
"TIENDA ACAPULCO",-80.56514,35.89547,"207 Avon St","","Mocksville","NC","27028","2303","DAVIE" 
"FAMILY DOLLAR STORE 54",-79.415207,35.154583,"1810 N Sandhills Blvd","","Aberdeen","NC","28315","2336","MOORE" 
"La Campana Supermarket",-78.328278,35.842411,"1701 N Arendell Ave","","Zebulon","NC","27597","8741","WAKE" 
"DOLLAR GENERAL 3186",-80.276199,36.242634,"1019 Bethania Rural Hall Rd","","Rural Hall","NC","27045","9552","FORSYTH" 
"DOLLAR GENERAL 9879",-77.278931,36.28233,"529 N Main St","","Rich Square","NC","27869","9527","NORTHAMPTON" 
"FAMILY DOLLAR STORE 68",-78.900291,35.019154,"2893 Owen Dr","","Fayetteville","NC","28306","2936","CUMBERLAND" 
"FAMILY DOLLAR STORE 163",-78.871063,35.050064,"420 Person St","","Fayetteville","NC","28301","5738","CUMBERLAND" 
"FAMILY DOLLAR STORE 260",-78.951042,34.976006,"3477 N Main St","","Hope Mills","NC","28348","1885","CUMBERLAND" 
"FAMILY DOLLAR STORE 292",-78.947617,35.043758,"4112 Raeford Rd","","Fayetteville","NC","28304","3360","CUMBERLAND" 
"FAMILY DOLLAR STORE 360",-78.972847,35.170376,"205 Skyland Plz","","Spring Lake","NC","28390","3415","CUMBERLAND" 
"FAMILY DOLLAR STORE 536",-78.54319,35.377445,"708 E Parrish Dr","","Benson","NC","27504","1759","JOHNSTON" 
"FAMILY DOLLAR STORE 762",-79.402161,35.340984,"1019 Monroe St","","Carthage","NC","28327","","MOORE" 
"FAMILY DOLLAR STORE 3101",-78.937416,35.077591,"3436 Bragg Blvd","","Fayetteville","NC","28303","3946","CUMBERLAND" 
"FAMILY DOLLAR STORE 3201",-79.014191,35.063389,"700 S REILLY RD","","FAYETTEVILLE","NC","28314","5628","CUMBERLAND" 
"FAMILY DOLLAR STORE 3590",-79.061852,35.030575,"9535 Cliffdale Rd","","Fayetteville","NC","28304","5956","CUMBERLAND" 
"FAMILY DOLLAR STORE 4524",-78.982887,35.089985,"5701 YADKIN RD","","FAYETTEVILLE","NC","28303","2722","CUMBERLAND" 
"FAMILY DOLLAR STORE 4894",-78.915154,35.004726,"3043 Legion Rd","","Fayetteville","NC","28306","4061","CUMBERLAND" 
"FAMILY DOLLAR STORE 5393",-78.752167,35.03524,"5179 Clinton Rd","","Stedman","NC","28391","9516","CUMBERLAND" 
"FAMILY DOLLAR STORE 244",-78.411018,36.320572,"112 Raleigh Rd","","Henderson","NC","27536","4906","VANCE" 
"FAMILY DOLLAR STORE 301",-77.64743,36.451618,"1041 E 10th St","","Roanoke Rapids","NC","27870","3005","HALIFAX" 
"FAMILY DOLLAR STORE 304",-78.592949,36.309673,"315 Hillsboro St","","Oxford","NC","27565","3213","GRANVILLE" 
"FAMILY DOLLAR STORE 519",-78.150406,36.397655,"321 E Macon St","","Warrenton","NC","27589","2021","WARREN" 
"FAMILY DOLLAR STORE 1035",-78.467125,36.099968,"3382 US 1 Hwy","","Franklinton","NC","27525","8403","FRANKLIN" 
"FAMILY DOLLAR STORE 3776",-78.3825,36.318775,"1405 E Andrews Ave","","Henderson","NC","27536","5202","VANCE" 
